"Title"	"Description"	"Genre"	"Rating"	"Link"	"Date"
"Venom"	"Eddie Brock is a reporter—investigating people who want to go unnoticed. But after he makes a terrible discovery at the Life Foundation, he begins to transform into ‘Venom’. The Foundation has discovered creatures called symbiotes, and believes they’re the key to the next step in human evolution. Unwittingly bonded with one, Eddie discovers he has incredible new abilities—and a voice in his head that’s telling him to embrace the darkness."	"Science Fiction"	"65.0"	"/movie/335983"	"October 5, 2018"
"Fantastic Beasts: The Crimes of Grindelwald"	"Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause—elevating wizards above all non-magical beings. The only one capable of putting a stop to him is the wizard he once called his closest friend, Albus Dumbledore. However, Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before, his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world."	"Family"	"70"	"/movie/338952"	"November 16, 2018"
"Kung Fu League"	"Martial arts comedy following a group of kung fu legends banding together to take on the bad guys. The legends includes VINCENT ZHAO reprising his role as ‘Wong Fei Hung’ with DENNIS TO once again portraying ‘Wing Chun’ master ‘Ip Man’, DANNY CHAN KWOK KWAN as ‘Chen Zhen’ and ANDY ON as master ‘Huo Yuan Jia’."	"Action"	"42.0"	"/movie/523873"	"October 19, 2018"
"Robin Hood"	"A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown."	"Adventure"	"62.0"	"/movie/375588"	"November 21, 2018"
"The Seven Deadly Sins: Prisoners of the Sky"	"Traveling in search of the rare ingredient, “sky fish” Meliodas and Hawk arrive at a palace that floats above the clouds. The people there are busy preparing a ceremony, meant to protect their home from a ferocious beast that awakens once every 3,000 years. But before the ritual is complete, the Six Knights of Black—a Demon Clan army—removes the seal on the beast, threatening the lives of everyone in the Sky Palace."	"Action"	"58.0"	"/movie/507569"	"August 18, 2018"
"Bohemian Rhapsody"	"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess."	"Drama"	"82.0"	"/movie/424694"	"November 2, 2018"
"Smallfoot"	"A bright young yeti finds something he thought didn't exist—a human. News of this “smallfoot” throws the simple yeti community into an uproar over what else might be out there in the big world beyond their snowy village."	"Comedy"	"66.0"	"/movie/446894"	"September 28, 2018"
"The Predator"	"When a kid accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled female scientist can prevent the end of the human race."	"Science Fiction"	"52.0"	"/movie/346910"	"September 14, 2018"
"Mission: Impossible - Fallout"	"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe."	"Action"	"72.0"	"/movie/353081"	"July 27, 2018"
"Halloween"	"Laurie Strode comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago."	"Thriller"	"64.0"	"/movie/424139"	"October 19, 2018"
