"Title"	"Description"	"Genre"	"Rating"	"Link"	"Date"
"Aquaman"	"The film reveals the origin story of half-human, half-Atlantean Arthur Curry and takes him on the journey of his lifetime—one that will not only force him to face who he really is, but to discover if he is worthy of who he was born to be… a king."	"ACTION,FANTASY,SCIENCE FICTION,ADVENTURE,ROMANCE"	"66.0"	"/movie/297802"	"December 21, 2018"
"Venom"	"Eddie Brock is a reporter—investigating people who want to go unnoticed. But after he makes a terrible discovery at the Life Foundation, he begins to transform into ‘Venom’. The Foundation has discovered creatures called symbiotes, and believes they’re the key to the next step in human evolution. Unwittingly bonded with one, Eddie discovers he has incredible new abilities—and a voice in his head that’s telling him to embrace the darkness."	"SCIENCE FICTION"	"65.0"	"/movie/335983"	"October 5, 2018"
"Mortal Engines"	"Set in a world many thousands of years in the future. Earth’s cities now roam the globe on huge wheels, devouring each other in a struggle for ever diminishing resources. On one of these massive Traction Cities, Tom Natsworthy has an unexpected encounter with a mysterious young woman from the Outlands who will change the course of his life forever."	"SCIENCE FICTION,ACTION,ADVENTURE"	"63.0"	"/movie/428078"	"December 14, 2018"
"Fantastic Beasts: The Crimes of Grindelwald"	"Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause—elevating wizards above all non-magical beings. The only one capable of putting a stop to him is the wizard he once called his closest friend, Albus Dumbledore. However, Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before, his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world."	"FAMILY,FANTASY,ADVENTURE"	"70"	"/movie/338952"	"November 16, 2018"
"Creed II"	"Follows Adonis Creed's life inside and outside of the ring as he deals with new found fame, issues with his family, and his continuing quest to become a champion."	"DRAMA,ACTION"	"70"	"/movie/480530"	"November 21, 2018"
"Just to Be Sure"	"Erwan, a strapping Breton who clears mines for a living, is shaken when he discovers that his father is not his father. Despite his affection for the man who raised him, he quietly sets out to find his biological father, and succeeds in locating Joseph, an endearing old codger he takes a liking to. Just when things look settled, another unexpected “bomb” hits Erwan in the form of Anna, an elusive nymph."	"DRAMA,COMEDY"	"64.0"	"/movie/418970"	"September 6, 2017"
"Mowgli: Legend of the Jungle"	"A human child raised by wolves, must face off against a menacing tiger named Shere Khan, as well as his own origins."	"ADVENTURE,DRAMA"	"67.0"	"/movie/407436"	"November 29, 2018"
"The Predator"	"When a kid accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled female scientist can prevent the end of the human race."	"SCIENCE FICTION,ACTION,THRILLER,ADVENTURE"	"52.0"	"/movie/346910"	"September 14, 2018"
"Night School"	"Teddy Walker is a successful salesman whose life takes an unexpected turn when he accidentally blows up his place of employment. Forced to attend night school to get his GED, Teddy soon finds himself dealing with a group of misfit students, his former high school nemesis and a feisty teacher who doesn't think he's too bright."	"COMEDY"	"62.0"	"/movie/454293"	"September 28, 2018"
"Dragon Ball Super: Broly"	"Earth is peaceful following the Tournament of Power. Realizing that the universes still hold many more strong people yet to see, Goku spends all his days training to reach even greater heights. Then one day, Goku and Vegeta are faced by a Saiyan called 'Broly' who they've never seen before. The Saiyans were supposed to have been almost completely wiped out in the destruction of Planet Vegeta, so what's this one doing on Earth? This encounter between the three Saiyans who have followed completely different destinies turns into a stupendous battle, with even Frieza (back from Hell) getting caught up in the mix."	"ACTION,ANIMATION,SCIENCE FICTION"	"90"	"/movie/503314"	"January 16, 2019"
"Avengers: Infinity War"	"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."	"ADVENTURE,ACTION,FANTASY"	"83.0"	"/movie/299536"	"April 27, 2018"
"A Simple Favor"	"Mommy vlogger Stephanie joins her best friend Emily’s husband, Sean, to investigate her sudden disappearance from their small town."	"THRILLER,CRIME,MYSTERY,COMEDY"	"65.0"	"/movie/484247"	"September 14, 2018"
